Day,Adjusted price
873,11750.29981
874,11699.29981
875,11792.90039
876,11785.5
877,11633.2002
878,11656.79981
879,11551.7002
880,11566.7002
881,11734.7002
882,11710.7002
883,11589.7002
884,11431
885,11538.90039
886,11655.09961
887,11638.79981
888,11352.5
889,11380.59961
890,11136.2002
891,11234
892,11414.5
893,11311.09961
894,11255.40039
895,11426.29981
896,11432
897,11423
898,11444.90039
899,11181.59961
900,11272.2002
901,11334.5
902,11361.40039
903,11479.7002
904,11417.59961
905,11503.90039
906,11475.90039
907,11483.29981
908,11156.2002
909,10872.5
910,10788.2002
911,10943.40039
912,11016.40039
913,10813.59961
914,10722.5
915,10675.29981
916,10592.90039
917,10431.90039
918,10435.5
919,10579.5
920,10375.7002
921,10472.5
922,10417.5
923,10657.90039
924,10494.79981
925,10558.2002
926,10346.7002
927,10583.79981
928,10745.09961
929,10699
930,10658.2002
931,10561.2002
932,10538.59961
933,10574.59961
934,10729.7002
935,10721.40039
936,10870.90039
937,11022.79981
938,10944.7002
939,10823.90039
940,10671.40039
941,10665.40039
942,10752
943,10688.29981
944,10932.09961
945,11093.5
946,11189.79981
947,11161.2002
948,11130.90039
949,11070.59961
950,10983.29981
951,11065.5
952,10967.79981
953,10924.09961
954,11043.79981
955,11075.29981
956,11019.2002
957,11085.7002
958,11242.5
959,11168.90039
960,10896.90039
961,10885.90039
962,10873.40039
963,11039.5
964,11179
965,11238.90039
966,11136.7002
967,11186.2002
968,11076.59961
969,11301.09961
970,11426.40039
971,11460.90039
972,11436.40039
973,11464
974,11470.79981
975,11436.79981
976,11504.29981
977,11498.09961
978,11502.29981
979,11618.09961
980,11563.29981
981,11639.5
982,11494.40039
983,11466.5
984,11449.09961
985,11375.2002
986,11387.7002
987,11325.90039
988,11410.2002
989,11503.09961
990,11428.79981
991,11446.09961
992,11676.40039
993,11808
994,11841.5
995,11780.40039
996,11811.09961
997,11846.5
998,12116.09961
999,12080.90039
1000,11933.7002
1001,11974.2002
1002,11929
1003,11950
1004,11903.09961
1005,11931.40039
1006,11737.90039
1007,11754.40039
1008,11734.09961
1009,11867.5
1010,11894.40039
1011,11872.7002
1012,11954.40039
1013,12061.40039
1014,11974.59961
1015,11911.79981
1016,11828.29981
1017,11898.40039
1018,11838.29981
1019,11855.7002
1020,11985.29981
1021,12045.90039
1022,12071.29981
1023,12074.29981
1024,12040
1025,11891.09961
1026,11862.7002
1027,11972.2002
1028,11925.90039
1029,11920.7002
1030,11954.29981
1031,11935
1032,12091.79981
1033,12120.79981
1034,12030.5
1035,12081.59961
1036,11961.29981
1037,11895.7002
1038,11842.40039
1039,11803.29981
1040,11797.2002
1041,11718.7002
1042,11683.5
1043,11577
1044,11744.79981
1045,11820.79981
1046,11783.29981
1047,11861.7002
1048,11888.90039
1049,11843.59961
1050,11867.2002
1051,11890.59961
1052,12026.59961
1053,12034.2002
1054,12027.40039
1055,12053.29981
1056,12103.09961
1057,12149.2002
1058,12187.59961
1059,12178.2002
1060,12190.59961
1061,12224.29981
1062,12211.59961
1063,12244.2002
1064,12218.59961
1065,12293.29981
1066,12402.40039
1067,12422.79981
1068,12362.40039
1069,12395.79981
1070,12397.7002
1071,12359.7002
1072,12375
1073,12611.90039
1074,12651.29981
1075,12694.90039
1076,12722
1077,12635
1078,12709.09961
1079,12730.79981
1080,12797.79981
1081,12759.09961
1082,12774.79981
1083,12763.59961
1084,12847.59961
1085,12946.09961
1086,12994.90039
1087,12958.09961
1088,12934.40039
1089,13066.40039
1090,13136.09961
1091,13132.5
1092,13107.59961
1093,13046.5
1094,13030.5
1095,13275.79981
1096,13177
1097,13242.79981
1098,13341.59961
1099,13300.7002
1100,13375.29981
1101,13373.59961
1102,13476
1103,13603
1104,13500.5
1105,13558.40039
1106,13499
1107,13655
1108,13739.90039
1109,13554.7002
1110,13668.90039
1111,13685.7002
1112,13536
1113,13625.5
1114,13704
1115,13750.59961
1116,13674.5
1117,13861.29981
1118,13923.29981
1119,13953.40039
1120,14018.79981
1121,14012.7002
1122,14020
1123,13971.7002
1124,14084
1125,14105.59961
1126,14089.79981
1127,14035.90039
1128,14030.7002
1129,13980.79981
1130,13957.59961
1131,13961.29981
1132,13988.09961
1133,13862.40039
1134,13923
1135,14057
1136,13960.2002
1137,13755.59961
1138,13480.2002
1139,13523.7002
1140,13598.29981
1141,13794.29981
1142,13968.09961
1143,13906.79981
1144,13741.59961
1145,13659.59961
1146,13531.2002
1147,13553
1148,13616.7002
1149,13591.5
1150,13817.5
1151,13895.09961
1152,14006.09961
1153,13975
1154,13992.79981
1155,13949.90039
1156,14029.40039
1157,13930.2002
1158,14106.2002
1159,14101.40039
1160,14193.29981
1161,14281.59961
1162,14315.7002
1163,14299.90039
1164,14377.7002
1165,14476
1166,14566.5
1167,14693.09961
1168,14720.90039
1169,14805.5
1170,14824.09961
1171,14507.7002
1172,14393
1173,14622.40039
1174,14389.59961
1175,14442.7002
1176,14350.90039
1177,14233.59961
1178,14259.40039
1179,13996.90039
1180,13840.2002
1181,14005
1182,14025.2002
1183,13806.09961
1184,13764.5
1185,13677.90039
1186,13822.40039
1187,13907.40039
1188,13994.40039
1189,14010.40039
1190,13667.40039
1191,13544.90039
1192,13272.2002
1193,13458.59961
1194,13609.09961
1195,13802.59961
1196,13798.2002
1197,14030.7002
1198,14009.90039
1199,13967.5
1200,14319
1201,14266.40039
1202,14473.2002
1203,14620.59961
1204,14531.2002
1205,14641
1206,14699.40039
1207,14762
1208,14682.2002
1209,14724.29981
1210,14819.79981
1211,14814.90039
1212,14849.59961
1213,14822.2002
1214,14835.09961
1215,14767.90039
1216,14725.59961
1217,14737.40039
1218,14829.90039
1219,14872.90039
1220,15061.2002
1221,15132
1222,15197.2002
1223,15115.09961
1224,14970.09961
1225,15086.2002
1226,15125.40039
1227,15076.90039
1228,15100.79981
1229,15086.29981
1230,14693
1231,14834.59961
1232,14865.2002
1233,14774.09961
1234,14743.09961
1235,14853.59961
1236,14953.09961
1237,14768
1238,14625.79981
1239,14735.79981
1240,14625.2002
1241,14875.5
1242,14861.5
1243,14851.5
1244,14977.29981
1245,15048.29981
1246,15092.90039
1247,15270.7002
1248,15245.79981
1249,15192.09961
1250,15220.09961
1251,15292
1252,15152.29981
1253,15089.2002
1254,15137.09961
1255,15032.29981
1256,14920.90039
1257,15063.2002
1258,15028.79981
1259,15009.40039
1260,14924.90039
1261,14908.2002
1262,14966.40039
1263,14891.29981
1264,14853
1265,14839.2002
1266,14771
1267,14667.59961
1268,14638
1269,14896.59961
1270,14969.79981
1271,15057.40039
1272,15128.40039
1273,15216.59961
1274,15231.90039
1275,15391.2002
1276,15522
1277,15512.5
1278,15495
1279,15526.90039
1280,15491.59961
1281,15428.79981
1282,15535.5
1283,15583
1284,15480
1285,15455.7002
1286,15468.40039
1287,15367.59961
1288,15403.79981
1289,15389.5
1290,15342
1291,15420.40039
1292,15369.09961
1293,15179.79981
1294,15257.90039
1295,15246.59961
1296,15290.5
1297,15265.59961
1298,15178.79981
1299,15148.5
1300,15187.7002
1301,15299.90039
1302,15306.09961
1303,15406.7002
1304,15431.79981
1305,15466.59961
1306,15334.79981
1307,15153.09961
1308,15128
1309,15157.7002
1310,15317.09961
1311,15391.79981
1312,15410.79981
1313,15396.09961
1314,15211.5
1315,15233.5
1316,15384.59961
1317,15348.59961
1318,15366.7002
1319,15590
1320,15636.59961
1321,15741.7002
1322,15878.09961
1323,15900.7002
1324,15919.09961
1325,16020.5
1326,16049.29981
1327,16069.2002
1328,16001.7002
1329,15949
1330,16191.7002
1331,16254.79981
1332,16236
1333,16292.90039
1334,16209.7002
1335,16187.09961
1336,16227.09961
1337,16144.2002
1338,16147.2002
1339,15980.09961
1340,15703.40039
1341,15528.2002
1342,15715.79981
1343,15688.29981
1344,15701.79981
1345,15674.40039
1346,15558.2002
1347,15540.29981
1348,15561.40039
1349,15789.90039
1350,15865.09961
1351,15910.7002
1352,16078.29981
1353,16079.2002
1354,16029.40039
1355,16110.59961
1356,16244.7002
1357,16342.09961
1358,16347.29981
1359,16368.79981
1360,16460.90039
1361,16539.30078
1362,16527.90039
1363,16471.69922
1364,16523
1365,16726
1366,16374.79981
1367,16698.90039
1368,16614.40039
1369,16671.80078
1370,16559.5
1371,16451.19922
1372,16481.5
1373,16326.7002
1374,16186.2002
1375,16124.90039
1376,16297.40039
1377,16354.2002
1378,16338.79981
1379,16217.40039
1380,16160.09961
1381,16019.40039
1382,16153.09961
1383,16252.90039
1384,16202.2002
1385,16181.7002
1386,16273.7002
1387,16407.59961
1388,16416
1389,16349.09961
1390,16433.69922
1391,16262.79981
1392,16014.5
1393,16163.7002
1394,16148.5
1395,15898.40039
1396,15702.40039
1397,15590.5
1398,15746
1399,15907.90039
1400,16082.2002
1401,15989.59961
1402,15991.79981
1403,15888.2002
1404,15826.2002
1405,15896.59961
1406,15817.2002
1407,15850.29981
1408,15930.90039
1409,15938.7002
1410,15882
1411,15968.5
1412,15885.2002
1413,15981.40039
1414,16038.90039
1415,15974.59961
1416,15616.5
1417,15397.90039
1418,15379.40039
1419,15440.29981
1420,15603.2002
1421,15675.09961
1422,15706
1423,15843.90039
1424,15935.40039
1425,15954.79981
1426,16010.29981
1427,16084.40039
1428,15971.90039
1429,15986.5
1430,15995.5
1431,16232.90039
1432,16218.40039
1433,16210.59961
1434,16087.59961
1435,16126
1436,15814.79981
1437,15706.7002
1438,15585.5
